"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.000958336E-2,-2.386636817E-1,-1.944557346E-1,-2.342394590E-2,3.087427196E-1
6.004358339E-2,-2.762864944E-1,-2.324266395E-1,6.250205755E-2,3.664189910E-1
7.007858343E-2,-3.532244503E-1,-2.805581778E-1,2.721393567E-1,5.268208737E-1
8.011258335E-2,-4.281699675E-1,-3.693052436E-1,3.444483644E-1,6.620880302E-1
9.014758340E-2,-4.808468755E-1,-4.492602166E-1,3.447389710E-1,7.428952941E-1
1.001815834E-1,-3.891652019E-1,-4.875404026E-1,2.774018508E-1,6.827129597E-1
1.102165834E-1,-1.922599955E-1,-5.219721339E-1,1.700779617E-1,5.816745890E-1
1.202505834E-1,-2.563249407E-2,-4.530478967E-1,-3.366534412E-2,4.550195346E-1
1.302855834E-1,7.659306156E-2,-4.197376247E-1,-1.481772155E-1,4.516665339E-1
1.403195834E-1,1.395104176E-1,-4.586111935E-1,-2.681492168E-1,5.492644043E-1
1.503545834E-1,1.155416939E-1,-4.304292220E-1,-3.254250330E-1,5.518338974E-1
1.603885834E-1,9.278365452E-2,-4.384327081E-1,-3.887000924E-1,5.932282933E-1
1.704235834E-1,3.445113681E-2,-4.765405474E-1,-4.336429614E-1,6.452317352E-1
1.804585834E-1,-4.749704238E-2,-4.495421620E-1,-4.516132092E-1,6.389824843E-1
1.904925834E-1,-1.395543996E-2,-4.122603516E-1,-4.229232609E-1,5.907769769E-1
2.005275834E-1,2.524210107E-2,-2.895313881E-1,-4.115574431E-1,5.038304450E-1
2.105615834E-1,7.104430972E-2,-1.404840704E-1,-4.843991321E-1,5.093383818E-1
2.205965833E-1,1.398306623E-1,-2.835844774E-2,-5.515152276E-1,5.696717141E-1
2.306305834E-1,1.495482413E-1,1.153661495E-1,-4.661335999E-1,5.029458797E-1
2.406655834E-1,8.394745186E-2,2.794207847E-1,-4.034257203E-1,4.978709285E-1
2.506995833E-1,1.068542115E-2,3.927286047E-1,-3.017245138E-1,4.953661448E-1
2.607345834E-1,-7.708567120E-3,5.268335456E-1,-2.263889873E-1,5.734675059E-1
2.707685834E-1,9.933779854E-2,5.786004806E-1,-1.619327903E-1,6.089899367E-1
2.808035833E-1,1.749491309E-1,6.480500536E-1,-1.481549960E-1,6.874052468E-1
2.908375834E-1,2.187993014E-1,6.755089438E-1,-6.524907947E-2,7.130518283E-1
3.008725834E-1,1.797462597E-1,7.246302330E-1,1.005036968E-1,7.533250863E-1
3.109065833E-1,1.048716034E-1,7.854007839E-1,2.539404827E-1,8.320686350E-1
3.209415834E-1,8.747953556E-2,7.540516680E-1,2.243863159E-1,7.915780480E-1
3.309755834E-1,6.922821935E-2,6.782990158E-1,1.266085911E-1,6.934780722E-1
3.410097084E-1,-9.743471257E-3,5.673000055E-1,1.928821027E-2,5.677114289E-1
3.510447084E-1,-1.124270101E-1,5.540141448E-1,1.648914814E-2,5.655469894E-1
3.610787084E-1,-1.351631041E-1,4.461207003E-1,7.224410355E-2,4.717117281E-1
3.711137084E-1,-1.664948610E-1,3.364548551E-1,2.014090973E-1,4.260141227E-1
3.811477084E-1,-2.329611481E-1,2.394009425E-1,2.905691957E-1,4.427348702E-1
3.911827084E-1,-3.061565571E-1,1.463022327E-1,3.026939821E-1,4.547085083E-1
4.012167084E-1,-3.244041457E-1,6.983022675E-2,2.204885620E-1,3.984087302E-1
4.112517084E-1,-3.409828658E-1,-4.690848358E-2,5.139234781E-2,3.480099051E-1
4.212857084E-1,-4.166282216E-1,-9.858336154E-2,-1.918763816E-1,4.691634044E-1
4.313207084E-1,-5.114763453E-1,-9.782870527E-2,-3.464603913E-1,6.254704710E-1
4.413547084E-1,-5.629518332E-1,-8.048962779E-2,-4.269549161E-1,7.111145105E-1
4.513897084E-1,-5.603663406E-1,-1.321293859E-1,-4.749441844E-1,7.463515181E-1
4.614237084E-1,-4.770798799E-1,-1.932976205E-1,-4.504314870E-1,6.840012474E-1
4.714587084E-1,-3.000005719E-1,-3.261571409E-1,-3.730225378E-1,5.792448855E-1
4.814927084E-1,-1.822100571E-1,-4.377123677E-1,-1.483479542E-1,4.967894294E-1
4.915277084E-1,-1.658872622E-1,-4.326121704E-1,-4.288815737E-2,4.653077130E-1
5.015627084E-1,-1.173860336E-1,-5.044203640E-1,-7.163657784E-2,5.228299760E-1
5.115967083E-1,-6.238156836E-2,-4.568026497E-1,-1.729530376E-1,4.924153471E-1
5.216317084E-1,-1.007869579E-1,-3.820606522E-1,-3.873797911E-1,5.533456925E-1
5.316657084E-1,-1.844481885E-1,-1.900569474E-1,-5.241350555E-1,5.872481025E-1
5.417007083E-1,-2.434896811E-1,-1.170802608E-2,-6.221016455E-1,6.681577359E-1
5.517347084E-1,-2.273279040E-1,1.583314536E-2,-6.311788630E-1,6.710554534E-1
5.617697084E-1,-1.702082450E-1,-2.708274974E-2,-5.558205324E-1,5.819285061E-1
5.718037083E-1,-8.233387616E-2,-1.760468542E-1,-4.251878875E-1,4.674998415E-1
5.818387084E-1,4.581567552E-2,-3.335062139E-1,-3.194216967E-1,4.640643179E-1
5.918727084E-1,1.547862868E-1,-3.754632387E-1,-2.180508578E-1,4.609529421E-1
6.019077083E-1,1.964014870E-1,-4.340732434E-1,-1.743283027E-1,5.073297565E-1
6.119417084E-1,2.943014735E-1,-4.912854711E-1,-8.286440134E-2,5.786547161E-1
6.219767084E-1,2.457486615E-1,-4.264870292E-1,7.107641459E-2,4.973283095E-1
6.320107083E-1,6.839396786E-2,-4.273315864E-1,5.452236235E-2,4.361911366E-1
6.420457084E-1,-7.644417683E-2,-3.035183299E-1,-1.142253578E-1,3.331884168E-1
6.520807084E-1,-1.064354230E-1,-1.562130074E-1,-2.521985972E-1,3.151747696E-1
6.621147083E-1,-6.501478884E-2,-3.835479280E-2,-3.732225126E-1,3.807795383E-1
6.721497084E-1,6.813935816E-2,5.570660625E-2,-4.857498389E-1,4.936588945E-1
6.821837084E-1,2.476940850E-1,1.601835957E-1,-4.943791598E-1,5.756925375E-1
6.922187083E-1,3.887249066E-1,2.041665163E-1,-4.358087701E-1,6.186439230E-1
7.022527084E-1,3.800420106E-1,2.249612800E-1,-3.525882733E-1,5.651176849E-1
7.122877084E-1,3.070574668E-1,2.448716340E-1,-2.845687830E-1,4.850008220E-1
7.223217083E-1,2.417613173E-1,2.441028348E-1,-1.944994426E-1,3.947971145E-1
7.323567084E-1,1.712111886E-1,1.679304438E-1,-8.822571337E-2,2.555341104E-1
7.423907084E-1,2.046752423E-1,1.622891415E-1,7.464906335E-2,2.716656087E-1
7.524257083E-1,2.957142887E-1,1.326011923E-2,8.487291992E-2,3.079386040E-1
7.624597084E-1,2.722283806E-1,3.875949664E-3,9.709243119E-2,2.890506087E-1
7.724947084E-1,1.949878678E-1,1.249359037E-1,-3.702983201E-2,2.345217625E-1
7.825287083E-1,1.374354235E-1,1.388267776E-1,-1.946163869E-1,2.757479063E-1
7.925637084E-1,2.118037657E-1,6.589210417E-2,-3.256980979E-1,3.940581880E-1
8.025977084E-1,3.646832389E-1,1.079191540E-1,-3.834352595E-1,5.400583364E-1
8.126327083E-1,3.920034404E-1,8.939329270E-2,-4.042069083E-1,5.701237434E-1
8.226677084E-1,2.508642260E-1,4.581179260E-2,-4.392089260E-1,5.078740601E-1
8.327017084E-1,6.317066839E-3,4.757285519E-2,-3.995197803E-1,4.023917702E-1
8.427367083E-1,-1.954984028E-1,-3.575357669E-3,-3.050287753E-1,3.623188685E-1
8.527707084E-1,-2.663419338E-1,1.145323366E-3,-2.298125321E-1,3.517856412E-1
8.628057084E-1,-2.225213465E-1,6.465089103E-2,-2.166703302E-1,3.172404756E-1
8.728397083E-1,-1.683375014E-1,8.461390654E-2,-2.006495440E-1,2.752403805E-1
8.828747084E-1,-1.412311892E-1,1.936803390E-2,-2.127795929E-1,2.561181850E-1
8.929087084E-1,-9.242852753E-2,-5.415004089E-2,-1.329148132E-1,1.707091304E-1
9.029437084E-1,7.562541132E-2,-1.614216705E-1,-2.545059085E-2,1.800663520E-1
9.129777084E-1,2.791450703E-1,-2.384463114E-1,4.468851507E-2,3.698319579E-1
9.230127084E-1,4.417356906E-1,-1.595167939E-1,1.531643057E-1,4.939993243E-1
9.330467083E-1,4.640461804E-1,-3.308519069E-2,3.223102212E-2,4.663392823E-1
9.430817084E-1,3.629561175E-1,7.507793834E-2,-1.066064358E-1,3.856666595E-1
9.531157084E-1,3.029461798E-1,1.940805992E-1,-1.726372880E-1,3.990580159E-1
9.631507084E-1,2.141136169E-1,3.604084857E-1,-2.597128540E-1,4.931426609E-1
9.731847084E-1,1.481386056E-1,3.938584330E-1,-4.558600420E-1,6.203852751E-1
9.832197084E-1,1.344473136E-1,3.067426308E-1,-5.781761920E-1,6.681727551E-1
9.932547084E-1,1.267773472E-1,1.593086330E-1,-5.618583673E-1,5.976090371E-1
1.003288708E0,7.889074322E-2,5.065391757E-2,-4.853960824E-1,4.943671971E-1
1.013323708E0,4.064198602E-2,2.769469740E-2,-3.904291141E-1,3.935144984E-1
1.023357708E0,-8.308491446E-3,6.172843438E-2,-4.246756715E-1,4.292188912E-1
1.033392708E0,-4.117868733E-2,1.425539847E-1,-5.003912669E-1,5.219279097E-1
1.043426708E0,5.533580141E-2,2.158227032E-1,-5.073599786E-1,5.541260127E-1
1.053461708E0,1.978807595E-1,1.966219636E-1,-5.474736321E-1,6.144463926E-1
1.063495708E0,3.369377255E-1,1.194459529E-1,-5.300085837E-1,6.392991986E-1
1.073530708E0,3.731136448E-1,2.175613727E-2,-4.187980503E-1,5.613189186E-1
1.083564708E0,3.623107311E-1,-8.187194612E-2,-3.628401965E-1,5.192543593E-1
1.093599708E0,3.401190859E-1,-9.946546884E-2,-3.928755891E-1,5.290799567E-1
1.103633708E0,3.660077063E-1,-5.928755075E-2,-4.959351039E-1,6.192158606E-1
1.113668708E0,5.417224570E-1,2.186359813E-2,-4.886798787E-1,7.298967469E-1
1.123702708E0,4.826723397E-1,1.207583605E-1,-5.488915819E-1,7.408354323E-1
1.133737708E0,2.956101900E-1,2.241707364E-1,-5.380233622E-1,6.535342697E-1
1.143772708E0,1.180032621E-1,2.149353151E-1,-3.668747753E-1,4.412698271E-1
1.153806708E0,-1.746958002E-2,1.529388773E-1,-1.531771696E-1,2.171606126E-1
1.163841708E0,-5.324026896E-2,9.270895634E-2,-1.413377273E-1,1.772169010E-1
1.173875708E0,7.276183795E-2,3.730490696E-2,-1.399677247E-1,1.621015271E-1
1.183910708E0,1.993461996E-1,4.372061815E-2,-1.559949428E-1,2.568751096E-1
1.193944708E0,2.246095334E-1,1.001737311E-1,-2.094998896E-1,3.230703060E-1
1.203979708E0,1.808143998E-1,2.490600859E-1,-2.336909902E-1,3.864404902E-1
1.214013708E0,2.489568643E-1,2.580489557E-1,-3.059245688E-1,4.713370616E-1
1.224048708E0,3.641121121E-1,2.306296074E-1,-3.244140494E-1,5.394553933E-1
1.234082708E0,3.494896875E-1,2.317988312E-1,-3.220798409E-1,5.287808277E-1
1.244117708E0,2.280308855E-1,1.915316517E-1,-2.688695937E-1,4.012148013E-1
1.254151708E0,9.519753132E-2,1.385212880E-1,-1.524410051E-1,2.269118270E-1
1.264186708E0,-4.210181650E-2,8.301399870E-2,3.948273897E-2,1.011077327E-1
1.274220708E0,-5.493917746E-2,7.273486767E-2,7.782760978E-2,1.198574613E-1
1.284255708E0,8.893770324E-2,1.304153477E-1,4.212275684E-2,1.633781033E-1
1.294290708E0,2.838098875E-1,2.007121275E-1,3.445588768E-2,3.493144981E-1
1.304324708E0,3.700970662E-1,2.671596852E-1,2.435072958E-2,4.570985603E-1
1.314359708E0,4.347676733E-1,3.109189680E-1,1.843977928E-2,5.348210541E-1
1.324393708E0,4.580499704E-1,3.466965457E-1,7.220726609E-3,5.745088416E-1
1.334429583E0,3.714927966E-1,3.133113563E-1,2.797717273E-2,4.867788267E-1
1.344463583E0,2.371394587E-1,2.125415746E-1,1.044148993E-1,3.351291021E-1
1.354498583E0,8.574324142E-2,1.309590292E-1,1.666690350E-1,2.286498152E-1
1.364532583E0,-9.225740511E-2,1.748946969E-2,2.881876248E-1,3.030996824E-1
1.374567583E0,-2.486263504E-1,-3.713211260E-2,2.837870103E-1,3.791159758E-1
1.384601583E0,-3.130369757E-1,-7.563585408E-2,3.313839304E-1,4.620911598E-1
1.394636583E0,-2.718464660E-1,-1.586021066E-1,3.155490857E-1,4.456751674E-1
1.404670583E0,-1.625267212E-1,-1.522012875E-1,2.014868653E-1,3.002950614E-1
1.414705583E0,3.562854677E-3,-1.343076382E-1,1.545103347E-1,2.047551688E-1
1.424739583E0,6.116004847E-3,-1.748104239E-1,1.986416101E-1,2.646782558E-1
1.434774583E0,-2.310424939E-2,-1.236919725E-1,2.010489088E-1,2.371796242E-1
1.444808583E0,-8.311608743E-2,-4.093649383E-2,1.541554087E-1,1.798554157E-1
1.454843583E0,-1.251547175E-1,7.338968273E-2,7.724347293E-2,1.643663680E-1
1.464878583E0,-1.851806619E-1,1.190250265E-1,-1.164180636E-3,2.201367525E-1
1.474912583E0,-2.919928283E-1,1.383952988E-1,1.822577119E-2,3.236437072E-1
1.484947583E0,-3.247157657E-1,4.802986077E-2,1.044879895E-1,3.444777729E-1
1.494981583E0,-3.530418345E-1,-3.536310146E-2,1.777781600E-1,3.968553389E-1
1.505016583E0,-3.378064390E-1,-6.186792701E-2,2.476319218E-1,4.233939056E-1
1.515050583E0,-2.837088038E-1,-3.337292852E-2,1.966652513E-1,3.468164626E-1
1.525085583E0,-2.075016768E-1,-1.206503514E-2,6.455559969E-2,2.176463562E-1
1.535119583E0,-1.630046945E-1,-1.389257326E-2,-7.831351340E-2,1.813740346E-1
1.545154583E0,-1.241159961E-1,-6.978916833E-2,-1.239750051E-1,1.887991272E-1
1.555188583E0,-5.937493008E-2,-1.358588132E-1,-1.024262613E-1,1.802058224E-1
1.565223583E0,-5.175414428E-2,-2.772057864E-1,-3.082652092E-2,2.836755433E-1
1.575257583E0,-1.009782714E-1,-3.336566701E-1,3.188837528E-2,3.500574999E-1
1.585292583E0,-1.392811885E-1,-3.520087411E-1,7.987179637E-2,3.868965070E-1
1.595326583E0,-1.457020160E-1,-3.235265882E-1,7.239788532E-2,3.621325511E-1
1.605361583E0,-1.290199828E-1,-2.532682357E-1,6.074555397E-2,2.906561155E-1
1.615396583E0,-9.007792857E-2,-1.502755802E-1,-2.875075936E-2,1.775482734E-1
1.625430583E0,-1.999287285E-2,-3.908059672E-2,-9.837531030E-2,1.077251581E-1
1.635465583E0,6.121651065E-2,-1.078467764E-2,-2.276543248E-1,2.359878430E-1
1.645499583E0,1.005511323E-1,2.735168511E-2,-3.082301259E-1,3.253681844E-1
1.655534583E0,9.696744695E-2,9.818999011E-2,-3.239298999E-1,3.521001846E-1
1.665568583E0,7.797669550E-2,1.200116619E-1,-2.440586883E-1,2.829272121E-1
1.675603583E0,6.207464436E-2,8.244056043E-2,-7.184239984E-2,1.257419496E-1
1.685637583E0,-1.965216290E-2,2.771587528E-2,3.472427487E-2,4.858140092E-2
1.695672583E0,-8.943166506E-2,-9.705299903E-3,1.080466050E-1,1.405926186E-1
1.705706583E0,-8.685222069E-2,-2.656547215E-2,1.993198872E-1,2.190375538E-1
1.715741583E0,-9.746988723E-2,1.087382027E-2,1.469919848E-1,1.767067132E-1
1.725775583E0,-1.091481291E-1,7.071949689E-2,8.794504702E-2,1.569996580E-1
1.735810583E0,-7.088298138E-2,1.016015298E-1,-3.609895527E-2,1.290364386E-1
1.745845583E0,-8.090061396E-3,1.289030750E-1,-1.558546096E-1,2.024156891E-1
1.755879583E0,8.961291047E-2,1.138887683E-1,-1.248368847E-1,1.912730327E-1
1.765914583E0,2.222887735E-1,1.338205469E-1,-1.175424832E-1,2.848446470E-1
1.775948583E0,3.143659747E-1,1.375251965E-1,-8.870927811E-2,3.544128691E-1
1.785983583E0,2.830566931E-1,7.320717651E-2,-2.076053917E-2,2.931064349E-1
1.796017583E0,1.753285786E-1,9.623910315E-2,-2.859346926E-2,2.020387635E-1
1.806052583E0,1.037063995E-1,1.512325044E-1,-1.726624310E-2,1.841858052E-1
1.816086583E0,2.205383364E-2,1.496607546E-1,-1.120092630E-2,1.516910472E-1
1.826121583E0,-8.313034002E-2,1.512108423E-1,-4.385411739E-4,1.725559752E-1
1.836155583E0,-7.761692729E-2,1.062029870E-1,3.334199309E-2,1.357024331E-1
1.846190583E0,-7.073755017E-2,9.031651324E-2,3.003480792E-2,1.185873655E-1
1.856224583E0,-3.922721565E-2,1.099577217E-1,-5.364411056E-2,1.284802149E-1
1.866259583E0,1.627183272E-2,9.998920578E-2,-1.206532019E-1,1.575430384E-1
1.876293583E0,5.473037705E-2,4.338663250E-2,-1.165741843E-1,1.358946448E-1
1.886328583E0,5.336708045E-2,-5.281329431E-2,-8.519276261E-2,1.135565768E-1
1.896362583E0,-4.247600175E-3,-8.875042789E-2,-4.442948341E-2,9.934112720E-2
